Date,High,Low,Closing,Volume,Open
2024-01-22,157.0500030517578,153.89999389648438,154.77999877929688,43687500,156.88999938964844
2024-01-23,156.2100067138672,153.92999267578125,156.02000427246094,37986000,154.85000610351562
2024-01-24,158.50999450683594,156.47999572753906,156.8699951171875,48547300,157.8000030517578
2024-01-25,158.50999450683594,154.5500030517578,157.75,43638600,156.9499969482422
2024-01-26,160.72000122070312,157.91000366210938,159.1199951171875,51047400,158.4199981689453
2024-01-29,161.2899932861328,158.89999389648438,161.25999450683594,45270400,159.33999633789062
2024-01-30,161.72999572753906,158.49000549316406,159.0,45207400,160.6999969482422
2024-01-31,159.00999450683594,154.80999755859375,155.1999969482422,50284400,157.0
2024-02-01,159.75999450683594,155.6199951171875,159.27999877929688,76542400,155.8699951171875
2024-02-02,172.5,167.3300018310547,171.80999755859375,117154900,169.19000244140625
2024-02-05,170.5500030517578,167.6999969482422,170.30999755859375,55081300,170.1999969482422
2024-02-06,170.7100067138672,167.64999389648438,169.14999389648438,42505500,169.38999938964844
2024-02-07,170.8800048828125,168.94000244140625,170.52999877929688,47174100,169.47999572753906
2024-02-08,171.42999267578125,168.8800048828125,169.83999633789062,42316500,169.64999389648438
2024-02-09,175.0,170.5800018310547,174.4499969482422,56986000,170.89999389648438
2024-02-12,175.38999938964844,171.5399932861328,172.33999633789062,51050400,174.8000030517578
2024-02-13,170.9499969482422,165.75,168.63999938964844,56345100,167.72999572753906
2024-02-14,171.2100067138672,168.27999877929688,170.97999572753906,42815500,169.2100067138672
2024-02-15,171.1699981689453,167.58999633789062,169.8000030517578,49855200,170.5800018310547
2024-02-16,170.4199981689453,167.1699981689453,169.50999450683594,48074600,168.74000549316406
2024-02-20,168.7100067138672,165.74000549316406,167.0800018310547,41980300,167.8300018310547
2024-02-21,170.22999572753906,167.13999938964844,168.58999633789062,44575600,168.94000244140625
2024-02-22,174.8000030517578,171.77000427246094,174.5800018310547,55392400,173.10000610351562
2024-02-23,175.75,173.6999969482422,174.99000549316406,59715200,174.27999877929688
2024-02-26,176.3699951171875,174.25999450683594,174.72999572753906,44368600,175.6999969482422
2024-02-27,174.6199951171875,172.86000061035156,173.5399932861328,31141700,174.0800018310547
2024-02-28,174.0500030517578,172.27000427246094,173.16000366210938,28180500,172.44000244140625
2024-02-29,177.22000122070312,172.85000610351562,176.75999450683594,53805400,173.00999450683594
2024-03-01,178.72999572753906,176.07000732421875,178.22000122070312,31956200,176.75
2024-03-04,180.13999938964844,177.49000549316406,177.5800018310547,37381500,177.52999877929688
2024-03-05,176.92999267578125,173.3000030517578,174.1199951171875,37228300,176.92999267578125
2024-03-06,176.4600067138672,173.25999450683594,173.50999450683594,32090900,175.5399932861328
2024-03-07,177.99000549316406,173.72000122070312,176.82000732421875,34063300,174.8300018310547
2024-03-08,178.7899932861328,174.3300018310547,175.35000610351562,37853500,176.44000244140625
2024-03-11,174.47000122070312,171.47000122070312,171.9600067138672,28484800,174.30999755859375
2024-03-12,176.75999450683594,171.97999572753906,175.38999938964844,36610600,173.5
2024-03-13,177.6199951171875,175.5500030517578,176.55999755859375,30772600,175.89999389648438
2024-03-14,179.52999877929688,176.47000122070312,178.75,43705800,177.69000244140625
2024-03-15,177.92999267578125,173.89999389648438,174.4199981689453,72115500,176.63999938964844
2024-03-18,176.69000244140625,174.27999877929688,174.47999572753906,31250700,175.8000030517578
2024-03-19,176.08999633789062,173.52000427246094,175.89999389648438,26880900,174.22000122070312
2024-03-20,178.52999877929688,174.63999938964844,178.14999389648438,29947200,176.13999938964844
2024-03-21,181.4199981689453,178.14999389648438,178.14999389648438,32824300,179.99000549316406
2024-03-22,179.25999450683594,176.75,178.8699951171875,27964100,177.75
2024-03-25,180.99000549316406,177.24000549316406,179.7100067138672,29815500,178.00999450683594
2024-03-26,180.4499969482422,177.9499969482422,178.3000030517578,29659000,180.14999389648438
2024-03-27,180.0,177.30999755859375,179.8300018310547,33272600,179.8800048828125
2024-03-28,181.6999969482422,179.25999450683594,180.3800048828125,38051600,180.1699981689453
2024-04-01,183.0,179.9499969482422,180.97000122070312,29174500,180.7899932861328
2024-04-02,180.7899932861328,178.3800048828125,180.69000244140625,32611500,179.07000732421875
2024-04-03,182.8699951171875,179.8000030517578,182.41000366210938,31046600,179.89999389648438
2024-04-04,185.10000610351562,180.0,180.0,41624300,184.0
2024-04-05,186.27000427246094,181.97000122070312,185.07000732421875,42335200,182.3800048828125
2024-04-08,187.2899932861328,184.80999755859375,185.19000244140625,39221300,186.89999389648438
2024-04-09,187.33999633789062,184.1999969482422,185.6699981689453,36546900,187.24000549316406
2024-04-10,186.27000427246094,182.6699981689453,185.9499969482422,35879200,182.77000427246094
2024-04-11,189.77000427246094,185.50999450683594,189.0500030517578,40020700,186.74000549316406
2024-04-12,188.3800048828125,185.0800018310547,186.1300048828125,38554300,187.72000122070312
2024-04-15,188.69000244140625,183.0,183.6199951171875,48052400,187.42999267578125
2024-04-16,184.8300018310547,182.25999450683594,183.32000732421875,32891300,183.27000427246094
2024-04-17,184.57000732421875,179.82000732421875,181.27999877929688,31359700,184.30999755859375
2024-04-18,182.38999938964844,178.64999389648438,179.22000122070312,30723800,181.47000122070312
2024-04-19,179.0,173.44000244140625,174.6300048828125,55950000,178.74000549316406
2024-04-22,178.8699951171875,174.55999755859375,177.22999572753906,37924900,176.94000244140625
2024-04-23,179.92999267578125,175.97999572753906,179.5399932861328,37046500,178.0800018310547
2024-04-24,180.32000732421875,176.17999267578125,176.58999633789062,34185100,179.94000244140625
2024-04-25,173.9199981689453,166.32000732421875,173.6699981689453,49249400,169.67999267578125
2024-04-26,180.82000732421875,176.1300048828125,179.6199951171875,42033000,177.8000030517578
2024-04-29,183.52999877929688,179.38999938964844,180.9600067138672,54063900,182.75
2024-04-30,182.99000549316406,174.8000030517578,175.0,93745800,181.08999633789062
